[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 3662.8125
[*] Trial 1: 3662.8125
[*] Trial 2: 3662.8125
[*] Trial 3: 3662.8125
[*] Trial 4: 3662.8125
[*] Trial 5: 3662.8125
[*] Trial 6: 3662.8125
[*] Trial 7: 3662.8125
[*] Trial 8: 3662.8125
[*] Trial 9: 3662.8125
[*] Trial 10: 3662.8125
[*] Trial 11: 3662.8125
[*] Trial 12: 3662.8125
[*] Trial 13: 3662.8125
[*] Trial 14: 3652.125
[*] Trial 15: 3652.125
[*] Trial 16: 3652.125
[*] Trial 17: 3652.125
[*] Trial 18: 3652.125
[*] Trial 19: 3652.125
[*] Trial 20: 3652.125
[*] Trial 21: 3652.125
[*] Trial 22: 3652.125
[*] Trial 23: 3652.125
[*] Trial 24: 3652.125
[*] Trial 25: 3652.125
[*] Trial 26: 3652.125
[*] Trial 27: 3652.125
[*] Trial 28: 3652.125
[*] Trial 29: 3652.125
[*] Trial 30: 3652.125
[*] Trial 31: 3652.125
[*] Trial 32: 3652.125
[*] Trial 33: 3652.125
[*] Trial 34: 3652.125
[*] Trial 35: 3652.125
[*] Trial 36: 3652.125
[*] Trial 37: 3652.125
[*] Trial 38: 3652.125
[*] Trial 39: 3652.125
[*] Trial 40: 3652.125
[*] Trial 41: 3652.125
[*] Trial 42: 3652.125
[*] Trial 43: 3652.125
[*] Trial 44: 3652.125
[*] Trial 45: 3652.125
[*] Trial 46: 3652.125
[*] Trial 47: 3652.125
[*] Trial 48: 3652.125
[*] Trial 49: 3652.125
[*] min objective value:
3652.125
